,h,T,M,lambda,s
1197,30951,-10600000,1460000,0.0002549,7.52E-05
1198,31270,-10600000,1460000,0.0002549,7.52E-05
1199,31589,-10600000,1460000,0.0002549,7.52E-05
1200,0,-11500000,5533.8,9.00E-07,-0.000194015
1201,319.08,-11500000,23446,2.00E-06,-0.000192915
1202,638.16,-11500000,50532,4.90E-06,-0.000190015
1203,957.24,-11500000,99900,1.19E-05,-0.000183015
1204,1276.3,-11500000,197000,2.79E-05,-0.000167015
1205,1595.4,-11500000,377000,5.89E-05,-0.000136015
1206,1914.5,-11500000,653000,0.0001078,-8.71E-05
1207,2233.6,-11500000,959000,0.0001632,-3.17E-05
1208,2552.6,-11500000,1200000,0.0002068,1.19E-05
1209,2871.7,-11500000,1340000,0.0002322,3.73E-05
1210,3190.8,-11500000,1400000,0.0002448,4.99E-05
1211,3509.9,-11500000,1430000,0.0002504,5.55E-05
1212,3829,-11500000,1450000,0.0002529,5.80E-05
1213,4148,-11500000,1450000,0.000254,5.91E-05
1214,4467.1,-11500000,1450000,0.0002545,5.96E-05
1215,4786.2,-11500000,1460000,0.0002547,5.98E-05
1216,5105.3,-11500000,1460000,0.0002547,5.98E-05
1217,5424.4,-11500000,1460000,0.0002548,5.99E-05
1218,5743.4,-11500000,1460000,0.0002548,5.99E-05
1219,6062.5,-11500000,1460000,0.0002549,6.00E-05
1220,6381.6,-11500000,1460000,0.0002549,6.00E-05
1221,6700.7,-11500000,1460000,0.0002549,6.00E-05
1222,7019.8,-11500000,1460000,0.0002548,5.99E-05
1223,7338.8,-11500000,1460000,0.0002549,6.00E-05
1224,7657.9,-11500000,1460000,0.0002549,6.00E-05
1225,7977,-11500000,1460000,0.0002549,6.00E-05
1226,8296.1,-11500000,1460000,0.0002549,6.00E-05
1227,8615.2,-11500000,1460000,0.0002549,6.00E-05
1228,8934.2,-11500000,1460000,0.0002548,5.99E-05
1229,9253.3,-11500000,1460000,0.0002548,5.99E-05
1230,9572.4,-11500000,1460000,0.0002549,6.00E-05
1231,9891.5,-11500000,1460000,0.0002549,6.00E-05
1232,10211,-11500000,1460000,0.0002549,6.00E-05
1233,10530,-11500000,1460000,0.0002549,6.00E-05
1234,10849,-11500000,1460000,0.0002549,6.00E-05
1235,11168,-11500000,1460000,0.0002549,6.00E-05
1236,11487,-11500000,1460000,0.0002549,6.00E-05
1237,11806,-11500000,1460000,0.0002549,6.00E-05
1238,12125,-11500000,1460000,0.0002549,6.00E-05
1239,12444,-11500000,1460000,0.0002549,6.00E-05
1240,12763,-11500000,1460000,0.0002549,6.00E-05
1241,13082,-11500000,1460000,0.0002549,6.00E-05
1242,13401,-11500000,1460000,0.0002549,6.00E-05
1243,13720,-11500000,1460000,0.0002549,6.00E-05
1244,14040,-11500000,1460000,0.0002549,6.00E-05
1245,14359,-11500000,1460000,0.0002549,6.00E-05
1246,14678,-11500000,1460000,0.0002549,6.00E-05
1247,14997,-11500000,1460000,0.0002549,6.00E-05
1248,15316,-11500000,1460000,0.0002549,6.00E-05
1249,15635,-11500000,1460000,0.0002549,6.00E-05
1250,15954,-11500000,1460000,0.0002549,6.00E-05
1251,16273,-11500000,1460000,0.0002549,6.00E-05
1252,16592,-11500000,1460000,0.0002549,6.00E-05
1253,16911,-11500000,1460000,0.0002549,6.00E-05
1254,17230,-11500000,1460000,0.0002549,6.00E-05
1255,17549,-11500000,1460000,0.0002549,6.00E-05
1256,17868,-11500000,1460000,0.0002549,6.00E-05
1257,18188,-11500000,1460000,0.000255,6.01E-05
1258,18507,-11500000,1460000,0.0002549,6.00E-05
1259,18826,-11500000,1460000,0.000255,6.01E-05
1260,19145,-11500000,1460000,0.000255,6.01E-05
1261,19464,-11500000,1460000,0.000255,6.01E-05
1262,19783,-11500000,1460000,0.000255,6.01E-05
1263,20102,-11500000,1460000,0.000255,6.01E-05
1264,20421,-11500000,1460000,0.000255,6.01E-05
1265,20740,-11500000,1460000,0.000255,6.01E-05
1266,21059,-11500000,1460000,0.000255,6.01E-05
1267,21378,-11500000,1460000,0.000255,6.01E-05
1268,21697,-11500000,1460000,0.000255,6.01E-05
1269,22017,-11500000,1460000,0.000255,6.01E-05
1270,22336,-11500000,1460000,0.000255,6.01E-05
1271,22655,-11500000,1460000,0.000255,6.01E-05
1272,22974,-11500000,1460000,0.000255,6.01E-05
1273,23293,-11500000,1460000,0.000255,6.01E-05
1274,23612,-11500000,1460000,0.0002549,6.00E-05
1275,23931,-11500000,1460000,0.0002549,6.00E-05
1276,24250,-11500000,1460000,0.0002549,6.00E-05
1277,24569,-11500000,1460000,0.0002549,6.00E-05
1278,24888,-11500000,1460000,0.0002549,6.00E-05
1279,25207,-11500000,1460000,0.0002549,6.00E-05
1280,25526,-11500000,1460000,0.0002549,6.00E-05
1281,25845,-11500000,1460000,0.0002549,6.00E-05
1282,26165,-11500000,1460000,0.0002549,6.00E-05
1283,26484,-11500000,1460000,0.0002549,6.00E-05
1284,26803,-11500000,1460000,0.0002549,6.00E-05
1285,27122,-11500000,1460000,0.0002549,6.00E-05
1286,27441,-11500000,1460000,0.0002549,6.00E-05
1287,27760,-11500000,1460000,0.0002549,6.00E-05
1288,28079,-11500000,1460000,0.0002549,6.00E-05
1289,28398,-11500000,1460000,0.0002549,6.00E-05
1290,28717,-11500000,1460000,0.0002549,6.00E-05
1291,29036,-11500000,1460000,0.0002549,6.00E-05
1292,29355,-11500000,1460000,0.0002549,6.00E-05
1293,29674,-11500000,1460000,0.000255,6.01E-05
1294,29994,-11500000,1460000,0.000255,6.01E-05
1295,30313,-11500000,1460000,0.000255,6.01E-05
1296,30632,-11500000,1460000,0.000255,6.01E-05
1297,30951,-11500000,1460000,0.0002549,6.00E-05
1298,31270,-11500000,1460000,0.0002549,6.00E-05
1299,31589,-11500000,1460000,0.0002549,6.00E-05
1300,0,-12500000,4223.2,6.00E-07,-0.000211264
1301,319.08,-12500000,19805,1.40E-06,-0.000210464
1302,638.16,-12500000,41795,3.40E-06,-0.000208464
1303,957.24,-12500000,79221,8.30E-06,-0.000203564
1304,1276.3,-12500000,151000,1.96E-05,-0.000192264
1305,1595.4,-12500000,291000,4.31E-05,-0.000168764
1306,1914.5,-12500000,525000,8.46E-05,-0.000127264
1307,2233.6,-12500000,829000,0.0001393,-7.26E-05
1308,2552.6,-12500000,1100000,0.0001896,-2.23E-05
1309,2871.7,-12500000,1280000,0.0002227,1.08E-05
1310,3190.8,-12500000,1380000,0.0002403,2.84E-05
1311,3509.9,-12500000,1420000,0.0002484,3.65E-05
1312,3829,-12500000,1440000,0.000252,4.01E-05
1313,4148,-12500000,1450000,0.0002536,4.17E-05
1314,4467.1,-12500000,1450000,0.0002543,4.24E-05
1315,4786.2,-12500000,1450000,0.0002546,4.27E-05
1316,5105.3,-12500000,1460000,0.0002548,4.29E-05
1317,5424.4,-12500000,1460000,0.0002548,4.29E-05
1318,5743.4,-12500000,1460000,0.0002548,4.29E-05
1319,6062.5,-12500000,1460000,0.0002549,4.30E-05
1320,6381.6,-12500000,1460000,0.0002549,4.30E-05
1321,6700.7,-12500000,1460000,0.0002549,4.30E-05
1322,7019.8,-12500000,1460000,0.0002548,4.29E-05
1323,7338.8,-12500000,1460000,0.0002548,4.29E-05
1324,7657.9,-12500000,1460000,0.0002549,4.30E-05
1325,7977,-12500000,1460000,0.0002549,4.30E-05
1326,8296.1,-12500000,1460000,0.0002549,4.30E-05
1327,8615.2,-12500000,1460000,0.0002549,4.30E-05
1328,8934.2,-12500000,1460000,0.0002549,4.30E-05
1329,9253.3,-12500000,1460000,0.0002548,4.29E-05
1330,9572.4,-12500000,1460000,0.0002549,4.30E-05
1331,9891.5,-12500000,1460000,0.0002549,4.30E-05
1332,10211,-12500000,1460000,0.0002549,4.30E-05
1333,10530,-12500000,1460000,0.0002549,4.30E-05
1334,10849,-12500000,1460000,0.0002549,4.30E-05
1335,11168,-12500000,1460000,0.0002549,4.30E-05
1336,11487,-12500000,1460000,0.0002549,4.30E-05
1337,11806,-12500000,1460000,0.0002549,4.30E-05
1338,12125,-12500000,1460000,0.0002549,4.30E-05
1339,12444,-12500000,1460000,0.0002549,4.30E-05
1340,12763,-12500000,1460000,0.0002549,4.30E-05
1341,13082,-12500000,1460000,0.0002549,4.30E-05
1342,13401,-12500000,1460000,0.0002549,4.30E-05
1343,13720,-12500000,1460000,0.0002549,4.30E-05
1344,14040,-12500000,1460000,0.0002549,4.30E-05
1345,14359,-12500000,1460000,0.0002549,4.30E-05
1346,14678,-12500000,1460000,0.0002549,4.30E-05
1347,14997,-12500000,1460000,0.0002549,4.30E-05
1348,15316,-12500000,1460000,0.0002549,4.30E-05
1349,15635,-12500000,1460000,0.0002549,4.30E-05
1350,15954,-12500000,1460000,0.0002549,4.30E-05
1351,16273,-12500000,1460000,0.0002549,4.30E-05
1352,16592,-12500000,1460000,0.0002549,4.30E-05
1353,16911,-12500000,1460000,0.0002549,4.30E-05
1354,17230,-12500000,1460000,0.0002549,4.30E-05
1355,17549,-12500000,1460000,0.0002549,4.30E-05
1356,17868,-12500000,1460000,0.0002549,4.30E-05
1357,18188,-12500000,1460000,0.0002549,4.30E-05
1358,18507,-12500000,1460000,0.0002549,4.30E-05
1359,18826,-12500000,1460000,0.000255,4.31E-05
1360,19145,-12500000,1460000,0.000255,4.31E-05
1361,19464,-12500000,1460000,0.000255,4.31E-05
1362,19783,-12500000,1460000,0.000255,4.31E-05
1363,20102,-12500000,1460000,0.000255,4.31E-05
1364,20421,-12500000,1460000,0.000255,4.31E-05
1365,20740,-12500000,1460000,0.000255,4.31E-05
1366,21059,-12500000,1460000,0.000255,4.31E-05
1367,21378,-12500000,1460000,0.000255,4.31E-05
1368,21697,-12500000,1460000,0.000255,4.31E-05
1369,22017,-12500000,1460000,0.000255,4.31E-05
1370,22336,-12500000,1460000,0.000255,4.31E-05
1371,22655,-12500000,1460000,0.000255,4.31E-05
1372,22974,-12500000,1460000,0.000255,4.31E-05
1373,23293,-12500000,1460000,0.0002549,4.30E-05
1374,23612,-12500000,1460000,0.0002549,4.30E-05
1375,23931,-12500000,1460000,0.0002549,4.30E-05
1376,24250,-12500000,1460000,0.0002549,4.30E-05
1377,24569,-12500000,1460000,0.0002549,4.30E-05
1378,24888,-12500000,1460000,0.0002549,4.30E-05
1379,25207,-12500000,1460000,0.0002549,4.30E-05
1380,25526,-12500000,1460000,0.0002549,4.30E-05
1381,25845,-12500000,1460000,0.0002549,4.30E-05
1382,26165,-12500000,1460000,0.0002549,4.30E-05
1383,26484,-12500000,1460000,0.0002549,4.30E-05
1384,26803,-12500000,1460000,0.0002549,4.30E-05
1385,27122,-12500000,1460000,0.0002549,4.30E-05
1386,27441,-12500000,1460000,0.0002549,4.30E-05
1387,27760,-12500000,1460000,0.0002549,4.30E-05
1388,28079,-12500000,1460000,0.0002549,4.30E-05
1389,28398,-12500000,1460000,0.0002549,4.30E-05
1390,28717,-12500000,1460000,0.0002549,4.30E-05
1391,29036,-12500000,1460000,0.0002549,4.30E-05
1392,29355,-12500000,1460000,0.0002549,4.30E-05
1393,29674,-12500000,1460000,0.0002549,4.30E-05
1394,29994,-12500000,1460000,0.000255,4.31E-05
1395,30313,-12500000,1460000,0.000255,4.31E-05
1396,30632,-12500000,1460000,0.000255,4.31E-05
1397,30951,-12500000,1460000,0.000255,4.31E-05
1398,31270,-12500000,1460000,0.0002549,4.30E-05
1399,31589,-12500000,1460000,0.000255,4.31E-05
1400,0,-13400000,3349.4,5.00E-07,-0.000226619
1401,319.08,-13400000,17330,1.00E-06,-0.000226119
1402,638.16,-13400000,35679,2.30E-06,-0.000224819
1403,957.24,-13400000,64804,5.60E-06,-0.000221519
1404,1276.3,-13400000,118000,1.37E-05,-0.000213419
1405,1595.4,-13400000,223000,3.09E-05,-0.000196219
1406,1914.5,-13400000,414000,6.41E-05,-0.000163019
1407,2233.6,-13400000,695000,0.0001146,-0.000112519
1408,2552.6,-13400000,993000,0.000169,-5.81E-05
1409,2871.7,-13400000,1220000,0.0002104,-1.67E-05
1410,3190.8,-13400000,1350000,0.0002339,6.78E-06
1411,3509.9,-13400000,1410000,0.0002455,1.84E-05
1412,3829,-13400000,1430000,0.0002508,2.37E-05
1413,4148,-13400000,1450000,0.000253,2.59E-05
1414,4467.1,-13400000,1450000,0.0002541,2.70E-05
1415,4786.2,-13400000,1450000,0.0002545,2.74E-05
1416,5105.3,-13400000,1460000,0.0002547,2.76E-05
1417,5424.4,-13400000,1460000,0.0002548,2.77E-05
1418,5743.4,-13400000,1460000,0.0002548,2.77E-05
1419,6062.5,-13400000,1460000,0.0002548,2.77E-05
1420,6381.6,-13400000,1460000,0.0002549,2.78E-05
1421,6700.7,-13400000,1460000,0.0002549,2.78E-05
1422,7019.8,-13400000,1460000,0.0002549,2.78E-05
1423,7338.8,-13400000,1460000,0.0002548,2.77E-05
1424,7657.9,-13400000,1460000,0.0002548,2.77E-05
1425,7977,-13400000,1460000,0.0002549,2.78E-05
1426,8296.1,-13400000,1460000,0.0002549,2.78E-05
1427,8615.2,-13400000,1460000,0.0002549,2.78E-05
1428,8934.2,-13400000,1460000,0.0002549,2.78E-05
1429,9253.3,-13400000,1460000,0.0002549,2.78E-05
1430,9572.4,-13400000,1460000,0.0002548,2.77E-05
1431,9891.5,-13400000,1460000,0.0002549,2.78E-05
1432,10211,-13400000,1460000,0.0002549,2.78E-05
1433,10530,-13400000,1460000,0.0002549,2.78E-05
1434,10849,-13400000,1460000,0.0002549,2.78E-05
1435,11168,-13400000,1460000,0.0002549,2.78E-05
1436,11487,-13400000,1460000,0.0002549,2.78E-05
1437,11806,-13400000,1460000,0.0002549,2.78E-05
1438,12125,-13400000,1460000,0.0002549,2.78E-05
1439,12444,-13400000,1460000,0.0002549,2.78E-05
1440,12763,-13400000,1460000,0.0002549,2.78E-05
1441,13082,-13400000,1460000,0.0002549,2.78E-05
1442,13401,-13400000,1460000,0.0002549,2.78E-05
1443,13720,-13400000,1460000,0.0002549,2.78E-05
1444,14040,-13400000,1460000,0.0002549,2.78E-05
1445,14359,-13400000,1460000,0.0002549,2.78E-05
1446,14678,-13400000,1460000,0.0002549,2.78E-05
1447,14997,-13400000,1460000,0.0002549,2.78E-05
1448,15316,-13400000,1460000,0.0002549,2.78E-05
1449,15635,-13400000,1460000,0.0002549,2.78E-05
1450,15954,-13400000,1460000,0.0002549,2.78E-05
1451,16273,-13400000,1460000,0.0002549,2.78E-05
1452,16592,-13400000,1460000,0.0002549,2.78E-05
1453,16911,-13400000,1460000,0.0002549,2.78E-05
1454,17230,-13400000,1460000,0.0002549,2.78E-05
1455,17549,-13400000,1460000,0.0002549,2.78E-05
1456,17868,-13400000,1460000,0.0002549,2.78E-05
1457,18188,-13400000,1460000,0.0002549,2.78E-05
1458,18507,-13400000,1460000,0.0002549,2.78E-05
1459,18826,-13400000,1460000,0.000255,2.79E-05
1460,19145,-13400000,1460000,0.000255,2.79E-05
1461,19464,-13400000,1460000,0.000255,2.79E-05
1462,19783,-13400000,1460000,0.000255,2.79E-05
1463,20102,-13400000,1460000,0.000255,2.79E-05
1464,20421,-13400000,1460000,0.000255,2.79E-05
1465,20740,-13400000,1460000,0.000255,2.79E-05
1466,21059,-13400000,1460000,0.000255,2.79E-05
1467,21378,-13400000,1460000,0.000255,2.79E-05
1468,21697,-13400000,1460000,0.000255,2.79E-05
1469,22017,-13400000,1460000,0.000255,2.79E-05
1470,22336,-13400000,1460000,0.000255,2.79E-05
1471,22655,-13400000,1460000,0.000255,2.79E-05
1472,22974,-13400000,1460000,0.000255,2.79E-05
1473,23293,-13400000,1460000,0.000255,2.79E-05
1474,23612,-13400000,1460000,0.000255,2.79E-05
1475,23931,-13400000,1460000,0.0002549,2.78E-05
1476,24250,-13400000,1460000,0.0002549,2.78E-05
1477,24569,-13400000,1460000,0.0002549,2.78E-05
1478,24888,-13400000,1460000,0.0002549,2.78E-05
1479,25207,-13400000,1460000,0.0002549,2.78E-05
1480,25526,-13400000,1460000,0.0002549,2.78E-05
1481,25845,-13400000,1460000,0.0002549,2.78E-05
1482,26165,-13400000,1460000,0.0002549,2.78E-05
1483,26484,-13400000,1460000,0.0002549,2.78E-05
1484,26803,-13400000,1460000,0.0002549,2.78E-05
1485,27122,-13400000,1460000,0.0002549,2.78E-05
1486,27441,-13400000,1460000,0.0002549,2.78E-05
1487,27760,-13400000,1460000,0.0002549,2.78E-05
1488,28079,-13400000,1460000,0.0002549,2.78E-05
1489,28398,-13400000,1460000,0.0002549,2.78E-05
1490,28717,-13400000,1460000,0.0002549,2.78E-05
1491,29036,-13400000,1460000,0.0002549,2.78E-05
1492,29355,-13400000,1460000,0.0002549,2.78E-05
1493,29674,-13400000,1460000,0.0002549,2.78E-05
1494,29994,-13400000,1460000,0.0002549,2.78E-05
1495,30313,-13400000,1460000,0.000255,2.79E-05
1496,30632,-13400000,1460000,0.000255,2.79E-05
1497,30951,-13400000,1460000,0.000255,2.79E-05
1498,31270,-13400000,1460000,0.000255,2.79E-05
1499,31589,-13400000,1460000,0.000255,2.79E-05
1500,0,-14400000,2621.3,3.00E-07,-0.000243768
1501,319.08,-14400000,15728,7.00E-07,-0.000243368
1502,638.16,-14400000,31455,1.60E-06,-0.000242468
1503,957.24,-14400000,54610,3.80E-06,-0.000240268
1504,1276.3,-14400000,95094,9.60E-06,-0.000234468
1505,1595.4,-14400000,173000,2.19E-05,-0.000222168
1506,1914.5,-14400000,322000,4.73E-05,-0.000196768
1507,2233.6,-14400000,565000,9.07E-05,-0.000153368
1508,2552.6,-14400000,868000,0.0001457,-9.84E-05
1509,2871.7,-14400000,1130000,0.0001942,-4.99E-05
1510,3190.8,-14400000,1300000,0.0002254,-1.87E-05
1511,3509.9,-14400000,1390000,0.0002413,-2.77E-06
1512,3829,-14400000,1430000,0.0002489,4.83E-06
1513,4148,-14400000,1440000,0.0002523,8.23E-06
1514,4467.1,-14400000,1450000,0.0002537,9.63E-06
1515,4786.2,-14400000,1450000,0.0002543,1.02E-05
1516,5105.3,-14400000,1450000,0.0002546,1.05E-05
1517,5424.4,-14400000,1460000,0.0002548,1.07E-05
1518,5743.4,-14400000,1460000,0.0002549,1.08E-05
1519,6062.5,-14400000,1460000,0.0002548,1.07E-05
1520,6381.6,-14400000,1460000,0.0002548,1.07E-05
1521,6700.7,-14400000,1460000,0.0002549,1.08E-05
1522,7019.8,-14400000,1460000,0.0002549,1.08E-05
1523,7338.8,-14400000,1460000,0.0002549,1.08E-05
1524,7657.9,-14400000,1460000,0.0002548,1.07E-05
1525,7977,-14400000,1460000,0.0002548,1.07E-05
1526,8296.1,-14400000,1460000,0.0002549,1.08E-05
1527,8615.2,-14400000,1460000,0.0002549,1.08E-05
1528,8934.2,-14400000,1460000,0.0002549,1.08E-05
1529,9253.3,-14400000,1460000,0.0002549,1.08E-05
1530,9572.4,-14400000,1460000,0.0002549,1.08E-05
1531,9891.5,-14400000,1460000,0.0002548,1.07E-05
1532,10211,-14400000,1460000,0.0002549,1.08E-05
1533,10530,-14400000,1460000,0.0002549,1.08E-05
1534,10849,-14400000,1460000,0.0002549,1.08E-05
1535,11168,-14400000,1460000,0.0002549,1.08E-05
1536,11487,-14400000,1460000,0.0002549,1.08E-05
1537,11806,-14400000,1460000,0.0002549,1.08E-05
1538,12125,-14400000,1460000,0.0002549,1.08E-05
1539,12444,-14400000,1460000,0.0002549,1.08E-05
1540,12763,-14400000,1460000,0.0002549,1.08E-05
1541,13082,-14400000,1460000,0.0002549,1.08E-05
1542,13401,-14400000,1460000,0.0002549,1.08E-05
1543,13720,-14400000,1460000,0.0002549,1.08E-05
1544,14040,-14400000,1460000,0.0002549,1.08E-05
1545,14359,-14400000,1460000,0.0002549,1.08E-05
1546,14678,-14400000,1460000,0.0002549,1.08E-05
1547,14997,-14400000,1460000,0.0002549,1.08E-05
1548,15316,-14400000,1460000,0.0002549,1.08E-05
1549,15635,-14400000,1460000,0.0002549,1.08E-05
1550,15954,-14400000,1460000,0.0002549,1.08E-05
1551,16273,-14400000,1460000,0.0002549,1.08E-05
1552,16592,-14400000,1460000,0.0002549,1.08E-05
1553,16911,-14400000,1460000,0.0002549,1.08E-05
1554,17230,-14400000,1460000,0.0002549,1.08E-05
1555,17549,-14400000,1460000,0.0002549,1.08E-05
1556,17868,-14400000,1460000,0.0002549,1.08E-05
1557,18188,-14400000,1460000,0.0002549,1.08E-05
1558,18507,-14400000,1460000,0.0002549,1.08E-05
1559,18826,-14400000,1460000,0.0002549,1.08E-05
1560,19145,-14400000,1460000,0.0002549,1.08E-05
1561,19464,-14400000,1460000,0.000255,1.09E-05
1562,19783,-14400000,1460000,0.000255,1.09E-05
1563,20102,-14400000,1460000,0.000255,1.09E-05
1564,20421,-14400000,1460000,0.000255,1.09E-05
1565,20740,-14400000,1460000,0.000255,1.09E-05
1566,21059,-14400000,1460000,0.000255,1.09E-05
1567,21378,-14400000,1460000,0.000255,1.09E-05
1568,21697,-14400000,1460000,0.000255,1.09E-05
1569,22017,-14400000,1460000,0.000255,1.09E-05
1570,22336,-14400000,1460000,0.000255,1.09E-05
1571,22655,-14400000,1460000,0.000255,1.09E-05
1572,22974,-14400000,1460000,0.000255,1.09E-05
1573,23293,-14400000,1460000,0.000255,1.09E-05
1574,23612,-14400000,1460000,0.000255,1.09E-05
1575,23931,-14400000,1460000,0.000255,1.09E-05
1576,24250,-14400000,1460000,0.000255,1.09E-05
1577,24569,-14400000,1460000,0.000255,1.09E-05
1578,24888,-14400000,1460000,0.0002549,1.08E-05
1579,25207,-14400000,1460000,0.0002549,1.08E-05
1580,25526,-14400000,1460000,0.0002549,1.08E-05
1581,25845,-14400000,1460000,0.0002549,1.08E-05
1582,26165,-14400000,1460000,0.0002549,1.08E-05
1583,26484,-14400000,1460000,0.0002549,1.08E-05
1584,26803,-14400000,1460000,0.0002549,1.08E-05
1585,27122,-14400000,1460000,0.0002549,1.08E-05
1586,27441,-14400000,1460000,0.0002549,1.08E-05
1587,27760,-14400000,1460000,0.0002549,1.08E-05
1588,28079,-14400000,1460000,0.0002549,1.08E-05
1589,28398,-14400000,1460000,0.0002549,1.08E-05
1590,28717,-14400000,1460000,0.0002549,1.08E-05
1591,29036,-14400000,1460000,0.0002549,1.08E-05
1592,29355,-14400000,1460000,0.0002549,1.08E-05
1593,29674,-14400000,1460000,0.0002549,1.08E-05
1594,29994,-14400000,1460000,0.0002549,1.08E-05
1595,30313,-14400000,1460000,0.0002549,1.08E-05
1596,30632,-14400000,1460000,0.0002549,1.08E-05
1597,30951,-14400000,1460000,0.000255,1.09E-05
1598,31270,-14400000,1460000,0.000255,1.09E-05
1599,31589,-14400000,1460000,0.000255,1.09E-05
1600,0,-15400000,2184.4,3.00E-07,-0.000260717
1601,319.08,-15400000,14271,5.00E-07,-0.000260517
1602,638.16,-15400000,28252,1.10E-06,-0.000259917
1603,957.24,-15400000,47766,2.60E-06,-0.000258417
1604,1276.3,-15400000,79075,6.60E-06,-0.000254417
1605,1595.4,-15400000,137000,1.53E-05,-0.000245717
1606,1914.5,-15400000,250000,3.41E-05,-0.000226917
1607,2233.6,-15400000,450000,6.97E-05,-0.000191317
1608,2552.6,-15400000,734000,0.0001212,-0.000139817
1609,2871.7,-15400000,1030000,0.0001744,-8.66E-05
1610,3190.8,-15400000,1240000,0.0002135,-4.75E-05
1611,3509.9,-15400000,1350000,0.0002354,-2.56E-05
1612,3829,-15400000,1410000,0.0002462,-1.48E-05
1613,4148,-15400000,1440000,0.0002511,-9.92E-06
1614,4467.1,-15400000,1450000,0.0002532,-7.82E-06
1615,4786.2,-15400000,1450000,0.0002541,-6.92E-06
1616,5105.3,-15400000,1450000,0.0002545,-6.52E-06
1617,5424.4,-15400000,1460000,0.0002547,-6.32E-06
1618,5743.4,-15400000,1460000,0.0002548,-6.22E-06
1619,6062.5,-15400000,1460000,0.0002549,-6.12E-06
1620,6381.6,-15400000,1460000,0.0002548,-6.22E-06
1621,6700.7,-15400000,1460000,0.0002548,-6.22E-06
1622,7019.8,-15400000,1460000,0.0002549,-6.12E-06
1623,7338.8,-15400000,1460000,0.0002549,-6.12E-06
1624,7657.9,-15400000,1460000,0.0002549,-6.12E-06
1625,7977,-15400000,1460000,0.0002548,-6.22E-06
1626,8296.1,-15400000,1460000,0.0002549,-6.12E-06
1627,8615.2,-15400000,1460000,0.0002549,-6.12E-06
1628,8934.2,-15400000,1460000,0.0002549,-6.12E-06
1629,9253.3,-15400000,1460000,0.0002549,-6.12E-06
1630,9572.4,-15400000,1460000,0.0002549,-6.12E-06
1631,9891.5,-15400000,1460000,0.0002549,-6.12E-06
1632,10211,-15400000,1460000,0.0002548,-6.22E-06
1633,10530,-15400000,1460000,0.0002549,-6.12E-06
1634,10849,-15400000,1460000,0.0002549,-6.12E-06
1635,11168,-15400000,1460000,0.0002549,-6.12E-06
1636,11487,-15400000,1460000,0.0002549,-6.12E-06
1637,11806,-15400000,1460000,0.0002549,-6.12E-06
1638,12125,-15400000,1460000,0.0002549,-6.12E-06
1639,12444,-15400000,1460000,0.0002549,-6.12E-06
1640,12763,-15400000,1460000,0.0002549,-6.12E-06
1641,13082,-15400000,1460000,0.0002549,-6.12E-06
1642,13401,-15400000,1460000,0.0002549,-6.12E-06
1643,13720,-15400000,1460000,0.0002549,-6.12E-06
1644,14040,-15400000,1460000,0.0002549,-6.12E-06
1645,14359,-15400000,1460000,0.0002549,-6.12E-06
1646,14678,-15400000,1460000,0.0002549,-6.12E-06
1647,14997,-15400000,1460000,0.0002549,-6.12E-06
1648,15316,-15400000,1460000,0.0002549,-6.12E-06
1649,15635,-15400000,1460000,0.0002549,-6.12E-06
1650,15954,-15400000,1460000,0.0002549,-6.12E-06
1651,16273,-15400000,1460000,0.0002549,-6.12E-06
1652,16592,-15400000,1460000,0.0002549,-6.12E-06
1653,16911,-15400000,1460000,0.0002549,-6.12E-06
1654,17230,-15400000,1460000,0.0002549,-6.12E-06
1655,17549,-15400000,1460000,0.0002549,-6.12E-06
1656,17868,-15400000,1460000,0.0002549,-6.12E-06
1657,18188,-15400000,1460000,0.0002549,-6.12E-06
1658,18507,-15400000,1460000,0.0002549,-6.12E-06
1659,18826,-15400000,1460000,0.0002549,-6.12E-06
1660,19145,-15400000,1460000,0.0002549,-6.12E-06
1661,19464,-15400000,1460000,0.000255,-6.02E-06
1662,19783,-15400000,1460000,0.000255,-6.02E-06
1663,20102,-15400000,1460000,0.000255,-6.02E-06
1664,20421,-15400000,1460000,0.000255,-6.02E-06
1665,20740,-15400000,1460000,0.000255,-6.02E-06
1666,21059,-15400000,1460000,0.000255,-6.02E-06
1667,21378,-15400000,1460000,0.000255,-6.02E-06
1668,21697,-15400000,1460000,0.000255,-6.02E-06
1669,22017,-15400000,1460000,0.000255,-6.02E-06
1670,22336,-15400000,1460000,0.000255,-6.02E-06
1671,22655,-15400000,1460000,0.000255,-6.02E-06
1672,22974,-15400000,1460000,0.000255,-6.02E-06
1673,23293,-15400000,1460000,0.000255,-6.02E-06
1674,23612,-15400000,1460000,0.000255,-6.02E-06
1675,23931,-15400000,1460000,0.000255,-6.02E-06
1676,24250,-15400000,1460000,0.000255,-6.02E-06
1677,24569,-15400000,1460000,0.0002549,-6.12E-06
1678,24888,-15400000,1460000,0.0002549,-6.12E-06
1679,25207,-15400000,1460000,0.0002549,-6.12E-06
1680,25526,-15400000,1460000,0.0002549,-6.12E-06
1681,25845,-15400000,1460000,0.0002549,-6.12E-06
1682,26165,-15400000,1460000,0.0002549,-6.12E-06
1683,26484,-15400000,1460000,0.0002549,-6.12E-06
1684,26803,-15400000,1460000,0.0002549,-6.12E-06
1685,27122,-15400000,1460000,0.0002549,-6.12E-06
1686,27441,-15400000,1460000,0.0002549,-6.12E-06
